Nombre,Direccion,Localidad,Pais,Latitud,Longitud,OK
ABABOLES FLORES Y PLANTAS,CALLE CARDENAL TAVERA 8,MADRID,ESPAÑA,40.495038,-3.6593215,SI
ABELLEIRA,"RUA EUSEBIO DA GUARDA, 14","CORUÑA, (A)",ESPAÑA,43.3559097,-8.4084221,SI
ABELLO ROIG JORDI,"CARRER MARE DE DEU DE LOURDES, 10",EL MASNOU,ESPAÑA,41.4786641,2.3161573,SI
"ABONOS, PIENSOS Y CEREALES PILAR ALONSO","C/VILLAGLORIA, Nº 5",VILLAMARTIN DE LA ABADIA,ESPAÑA,42.5671735,-6.7494307,SI
AC DOS SANTIAGO,PASEO DEL CLUB DEPORTIVO 1 E 17 PE - LA FINCA,POZUELO,ESPAÑA,40.4193227,-3.7999562,SI
ACHILEA,"AVDA. MEDITERRANEA, Nº30",BURRIANA,ESPAÑA,39.9229152,-0.0041212,SI
ACHILLEA FLOWERS,"RUA DA ROSA, Nº4",OURENSE,ESPAÑA,42.3400752,-7.8443849,SI
ACOTEC MODULAR SLU,"C/ A SEXTA PROVINCIA, 1º B",MONDARIZ (BALNEARIO),ESPAÑA,42.2257797,-8.4687819,SI
ADHOC,"C/ FENELON, 2A 4A",MADRID,ESPAÑA,40.4368631,-3.6126016,SI
ADRIA FLORERIA,"AVDA. OS ANXELES, 27",BRION,ESPAÑA,42.8539524,-8.6776918,SI
ADRIAN GONZALEZ LOPEZ,"PILAR SANTAMARIA, 24",TUDELA DE DUERO,ESPAÑA,41.5897115,-4.585393,SI
ADRIMAR,"C/. PADRE MENDEZ, 111 BAJO",TORRENT,ESPAÑA,39.4315725,-0.4708359999999999,SI
AECJ-ASOCIACION ESPAÑOLA DE CENTROS DE JARDINERIA,"CALLE LONDRES, 96 - pral. 2ª",BARCELONA,ESPAÑA,41.3936054,2.1513313,SI
AFLOR,"PLAZA DAS DAMAS, Nº1",OURENSE,ESPAÑA,42.3361511,-7.863359699999999,SI
AGICOLA A VIÑA,"CHAO DA VIÑA, Nº25",IRIXOA,ESPAÑA,43.3033537,-8.0782343,SI
AGRABO,C/. LUGAR FICHUA 18,ARBO,ESPAÑA,42.1106095,-8.3123062,SI
AGRARIO JOTAN,"FIGUEROA ARRIBA, 12",A ESTRADA,ESPAÑA,42.696677,-8.4987662,SI
AGRARIO JOTAN (NO USAR),"C/ LEICURES, 23","ESTRADA, (A)",ESPAÑA,42.69129119999999,-8.4854684,SI
AGRIBEN,"ESTRADA NACIONAL KM. 38,6 Nº118",BENAVENTE,PORTUGAL,38.8646725,-8.7921836,SI
AGRICENTRO,"C/VILLA VIEJA, S/N",TORDESILLAS,ESPAÑA,41.5042214,-5.0039094,SI
AGRICENTRO,"C/.DOCTOR PEREZ LISTA, 33",BARCO DE VALDEORRAS (O),ESPAÑA,42.4157139,-6.9838514,SI
AGRICENTRO ANDRES TATO,"AVDA.ELENA QUIROGA, Nº21-BAJO
VILLORIA",BARCO DE VALDEORRAS (O),ESPAÑA,42.41023999999999,-6.976806,SI
AGRICENTRO XINZO,"AVDA. MADRID, 100",XINZO DE LIMIA,ESPAÑA,42.0596056,-7.717887699999999,SI
AGRICOLA A SEMENTEIRA,"RUA GALICIA, 2 - BAIXO",SALVATERRA DO MIÑO,ESPAÑA,42.0830483,-8.4962948,SI
AGRICOLA ANSELMO,"C/. PONTEVEDRA, Nº20 BAIXO",SALCEDA DE CASELAS,ESPAÑA,42.1020723,-8.5567219,SI
AGRICOLA ARCADE,"AVDA.SOUTOMAIOR, Nº9-BAIXO",ARCADE,ESPAÑA,42.3407844,-8.6048713,SI
AGRICOLA AYNA,"BRETOÑA, 19 CURRO",BARRO,ESPAÑA,43.33817699999999,-7.318173499999999,SI
AGRICOLA CAAMAÑO SL,"REPUBLICA ARGENTINA, 18 BAJO",NOIA,ESPAÑA,42.7807653,-8.8848498,SI
AGRICOLA CORUTO,C/. CORUTO,GUARDA (A),ESPAÑA,40.46366700000001,-3.74922,SI
AGRICOLA DE CAAMAÑO (P.SON),"C/ CAAMAÑO, 21",PORTO DO SON,ESPAÑA,42.6594439,-9.0321263,SI
AGRICOLA DE SOUTELO,"CTRA. PONTEVEDRA-ORENSE, 58",SOUTELO DE MONTES,ESPAÑA,42.5378483,-8.304053699999999,SI
AGRICOLA DENA,"C/.ALTAMIRA, 12MEAÑO",DENA (SANTA EULALIA),ESPAÑA,42.448183,-8.810184,SI
AGRICOLA DIOR,"PONTELLON, 84ESCARABOTE",BOIRO,ESPAÑA,42.63223929999999,-8.908211399999999,SI
AGRICOLA EL HORREO,"C/.JUAN BAUTISTA ANDRADE, 128 BAJO",LEREZ,ESPAÑA,42.4451787,-8.6377921,SI
AGRICOLA FORESTAL VIVEROS MANTARAS,LUGAR DE MANTARAS Nº4,IRIXOA,ESPAÑA,43.2734154,-8.097594599999999,SI
AGRICOLA JORGE,CAMIÑO FOLGOSA DOS BOIX (SAN MARCOS) S/N,SANTIAGO DE COMPOSTELA,ESPAÑA,42.8958363,-8.5926753,SI
AGRICOLA LIMIANA,"C/RIO ARNOYA, 6",XINZO DE LIMIA,ESPAÑA,42.05993429999999,-7.7263109,SI
AGRICOLA LITO,"C/MIGUELDAVILA, 27",ARBO,ESPAÑA,42.1119687,-8.313548599999999,SI
AGRICOLA LOXO,"LOXO, S/N",TOURO,ESPAÑA,42.8583685,-8.3413583,SI
AGRICOLA MEAÑO,"CAMPO DA FEIRA, 2",MEAÑO,ESPAÑA,42.4441332,-8.781770100000001,SI
AGRICOLA MIERES,"CALVOS, 2",CUNTIS,ESPAÑA,42.6361947,-8.57193,SI
AGRICOLA MOURENTE,"CASAS NOVAS, 31",MOURENTE (SANTA MARIA),ESPAÑA,42.4406014,-8.6175283,SI
AGRICOLA MR.BARBARO,"CTRA.ARBO, 14","CAÑIZA, (A)",ESPAÑA,42.2127643,-8.2757457,SI
AGRICOLA MUIÑO VELLO,"C/CAMPOS, 19B","GROVE, (O)",ESPAÑA,43.3844457,-5.8232326,SI
AGRICOLA O AGRO,"C/DO MATADOIRO, 13 BAIXO","ESTRADA, (A)",ESPAÑA,42.6875306,-8.485658899999999,SI
AGRICOLA O CON,"C/ O'COM, 8 BAJO",O GROVE,ESPAÑA,42.4959962,-8.8651418,SI
AGRICOLA O CRUCEIRO,"LUGAR LA HERMIDA, 38MARCON","ERMIDA, (A)",ESPAÑA,42.4829481,-7.2502425,SI
AGRICOLA OUTES,AVDA. DEL ROCIO S/N,SERRA DE OUTES,ESPAÑA,42.8374838,-8.8995914,SI
AGRICOLA PRIETO,"AVDA. DO CRUCEIRO, 43",VILLALONGA,ESPAÑA,38.8860393,-0.2070885,SI
AGRICOLA PRIETO,"AVDA. DO CRUCEIRO, 43",VILLALONGA,ESPAÑA,38.8860393,-0.2070885,SI
AGRICOLA QUINTAS.,"C/.MEJUCO CORDIDO,14",MELIDE,ESPAÑA,42.9139507,-8.0146915,SI
AGRICOLA RAMIREZ,"DEVESA, 4ºA","BUDIÑO (PORRIÑO, O)",ESPAÑA,43.462173,-6.1700678,SI
AGRICOLA REIGOSA,"REIGOSA, 49",REIGOSA (TOURON),ESPAÑA,42.7336951,-7.251969,SI
AGRICOLA RODRIGUEZ,"FREIXEDO,39",PORTOSIN,ESPAÑA,42.7535823,-8.9486284,SI
AGRICOLA SAN PAIO,AS ANGUSTIAS (SANGUIÑEDA),MOS,ESPAÑA,42.1733548,-8.6294015,SI
AGRICOLA SEIXO,"AVENIDA DOCTOR OTERO ULLOA, 62 BAJO",MARIN,ESPAÑA,42.3914848,-8.7020824,SI
AGRICOR,"RUA DE MACAU, Nº12",CORUCHE,PORTUGAL,38.9630809,-8.5225028,SI
AGRIJARDIM,"ZONA INDUSTRIAL DE MIRAPOLO 1 LOTE, 39",AGUEDA,PORTUGAL,40.5762594,-8.449049,SI
AGRIVAL,"C/.CERVANTES, 28",RUA (A),ESPAÑA,39.5204908,-0.418003,SI
AGRO 4 ESTACIONES,"AVDA. DELANOVA, 7 A","VALENZA, BARBADAS (A)",ESPAÑA,42.3168221,-7.8836682,SI
AGRO A  LABRANZA (REDONDELA),"ESTRADA DE VIGO, 10 BAJO",REDONDELA,ESPAÑA,42.27903329999999,-8.6124222,SI
AGRO A GANDARA,"AVDA. NICASIO PEREZPARCELA 17, NAVE 6FERROL","GANDARA, (A)",ESPAÑA,43.4881668,-8.2049782,SI
AGRO A GRANXA NESPEREIRA,"ALVITE, 6PAZOS DE BORBEN",NESPEREIRA,ESPAÑA,42.2758748,-8.5273491,SI
AGRO A LAXE,"REPUBLICA ARGENTINA, 36-BAIXO",MARIN (CASCO URBANO),ESPAÑA,42.3914848,-8.7020824,SI
AGRO A NOSA TERRA,"LAVACOLLA, 41 B",SANTIAGO DE COMPOSTELA,ESPAÑA,42.8995,-8.442359999999999,SI
AGRO A PONTE,"C/. SAN PAYO, 3 BAJO",OURENSE,ESPAÑA,42.3499422,-7.8741943,SI
AGRO ABEGONDO,"LG A PENEDA, 1ºA - BAJO",ABEGONDO,ESPAÑA,43.2252071,-8.2909437,SI
AGRO ANTAS,"AVDA. LUGO, 48 - BAJO",ANTAS DE ULLA,ESPAÑA,42.7833227,-7.886581599999999,SI
AGRO ARDAN,CASAS 24-B,ARDAN - MARIN,ESPAÑA,42.3914848,-8.7020824,SI
AGRO ARENTEIRO,RUA MARCELINO PARRONDO Nº27-29 BAJO,CARBALLIÑO,ESPAÑA,42.4327569,-8.0780783,SI
AGRO ARENTEIRO,RUA MARCELINO PARRONDO 27-29 BAJO,CARBALLIÑO (O),ESPAÑA,42.4327427,-8.0783718,SI
AGRO AS DUNAS,IÑEIRAS 69- SIRVES OLVEIRA,RIBEIRA (SANTA UXIA),ESPAÑA,42.5917113,-9.0362612,SI
AGRO BARRO,"RUA BALADAS, 3 - BAIXO",BARRO,ESPAÑA,42.52463849999999,-8.6393282,SI
AGRO BECERREA,"ANOVELLO, 22",BECERREA,ESPAÑA,42.8496455,-7.160990699999999,SI
AGRO BIONA CELANOVA,"CASTOR ELICES, 30 - BAJO",CELANOVA,ESPAÑA,42.1536346,-7.9554178,SI
AGRO BORA,"C/.BARRO, 8COTOBADE",TENORIO,ESPAÑA,42.21893,-8.493126199999999,SI
AGRO BUEU,"C/.RAMON BARES, 40 BAJO",BUEU,ESPAÑA,42.3226035,-8.7864366,SI
AGRO CAMPO VEIGA,"CTRA.PEINADOR-OS VALOS, 152GUIZAN",MOS,ESPAÑA,42.228265,-8.6125978,SI
AGRO CARBALLEDO,"AVDA. OURENSE, 28","BARRELA, (LA)",ESPAÑA,42.6083747,-7.7727724,SI
AGRO CARREIRA,CASAL DA VELHA ESTRADA MUNICIPAL ENTRE CHA DE BAIXO E SANTOS Nº 583,TREMES-SANTAREM,PORTUGAL,39.5909829,-8.5116938,SI
AGRO CARRIL,"C/.ROSALIA DE CASTRO, 112 BAJO 4-CARRIL",VILAGARCIA DE AROUSA,ESPAÑA,42.6100986,-8.7694712,SI
AGRO CASTELAO,"RUA DOS IRMANS LISTE FORJAN, 14 BAJOAMENEIRO-CALO",TEO,ESPAÑA,42.8238669,-8.594875,SI
AGRO CASTIÑEIRAS,"CAMPEIRAS, 1",ORDES,ESPAÑA,43.0756478,-8.4112558,SI
AGRO CHEDAS,"VIA EDISON, 36",POLIGONO DO TAMBRE,ESPAÑA,42.9142551,-8.5192748,SI
AGRO CONDADO,"ANTONIO TOBAR, 38",ARBO,ESPAÑA,42.1122909,-8.3103344,SI
AGRO CONDE ADINA,"C/. ADINA IGLESIA, 18",PORTONOVO,ESPAÑA,42.4081677,-8.8329002,SI
AGRO CORTEGADA,C/.ALFEREZ RIVERA VISO Nº8 BAIXO,CORTEGADA,ESPAÑA,42.2068921,-8.1720675,SI
AGRO CORTEGADA,C/.ALFEREZ RIVERA VISO Nº8 BAIXO,CORTEGADA,ESPAÑA,42.2068921,-8.1720675,SI
AGRO CURRO,"LG. BRETOÑA, 19 (CURRO)",BARRO,ESPAÑA,43.33817699999999,-7.318173499999999,SI
AGRO CURRO (NO USAR),"LG. BRETOÑA, 19 (CURRO)",BARRO,ESPAÑA,43.33817699999999,-7.318173499999999,SI
AGRO DA MO,"ESTRADA DA MO, 10 - NOVAS",O ROSAL,ESPAÑA,41.9428306,-8.847046899999999,SI
AGRO DOMINGOS,RUA DR EDUARDO F. DE ALMEIDA Nº36,GLORIA DO RIBATEJO,PORTUGAL,39.0324461,-8.6270628,SI
AGRO ESTEVEZ,"C/ASTURESES, 19 BAJO","CARBALLIÑO, (O)",ESPAÑA,42.4302161,-8.081707399999999,SI
AGRO FERMA,"TRAVESIA DO SIXTO,89SANTIAGO",MARROZOS (SANTA MARIA),ESPAÑA,42.8379744,-8.4961975,SI
AGRO FERNANDEZ,"CASAL, 8",TEBRA (SAN SALVADOR),ESPAÑA,42.0422526,-8.7394762,SI
AGRO FERRALVE,"MONTEMOGOS, 154B BELUSO",BUEU,ESPAÑA,42.3264113,-8.8083727,SI
AGRO FERROL,"POLIG. DE LA GANDARA, PARCELA 33-A",O FERROL,ESPAÑA,43.5346521,-7.927948100000001,SI
AGRO FON,CAMIÑO DA FONTE Nº4 CUÑEIRA DE ARRIBA,ROSAL (O),ESPAÑA,41.9254107,-8.836426,SI
AGRO HERMIDA,"ALMOZARA, 34",BOBORAS,ESPAÑA,42.4324151,-8.1427319,SI
AGRO LOPEZ MONFORTE,"C/. CHANTADA, 106 BAJO",MONFORTE DE LEMOS (CASCO URBANO),ESPAÑA,42.5242581,-7.522225799999998,SI
AGRO MACEDA,RUA CATRO CAMIÑOS 1ºA,MACEDA,ESPAÑA,42.268791,-7.6520984,SI
AGRO MANOLO,"CASTELAO,22",BUEU (CASCO URBANO),ESPAÑA,42.4031087,-8.8120397,SI
AGRO MARCELINO,"AVDA. DE BARRAÑA, 3 BAJO",BOIRO,ESPAÑA,42.6452602,-8.883164899999999,SI
AGRO MAROÑA,"A BRAÑA, Nº28MAROÑAS",MAZARICOS,ESPAÑA,42.9667797,-8.9072216,SI
AGRO MEDER,CTRA. PONTEAREAS-AS NEVESSALVATIERRA,MEDER,ESPAÑA,42.0851203,-8.5009313,SI
AGRO MIGUEL ESTEVEZ,PLAZA DE MERCADO 1º BAJO,ARBO,ESPAÑA,42.1111842,-8.3124565,SI
AGRO MO,"ESTRADA DA MO, 10NOVAS","ROSAL, (O)",ESPAÑA,41.9430774,-8.8475001,SI
AGRO NANDEZ,"RUA MON Y LANDA, 6",CRECENTE,ESPAÑA,42.1522557,-8.223503899999999,SI
AGRO NIETO,AVDA. CELANOVA B-116,"VALENZA, (A)",ESPAÑA,42.3117021,-7.8867847,SI
AGRO O CANUDO,AVDA.ESTACION Nº15 (NAVE 3),REDONDELA,ESPAÑA,42.2818519,-8.609170299999999,SI
AGRO O EIDO,"EIDOS,4",REDONDELA,ESPAÑA,42.2833439,-8.6066544,SI
AGRO P.B.,"RUA FONTE PEDREIRA, 42",SERRELEIS,PORTUGAL,41.7054389,-8.7496201,SI
AGRO PANCHO,"A XESTEIRA, 1CASTRELO",CAMBADOS,ESPAÑA,42.52388819999999,-8.795283,SI
AGRO PARADANTA,"C/.VILANOVA, Nº9",CAÑIZA (A),ESPAÑA,42.2113511,-8.270087,SI
AGRO PARAÑOS,"PORTO CORTIÑAS, 3 (N-120)",PARAÑOS (COVELO),ESPAÑA,42.2116298,-8.352084399999999,SI
AGRO PATATEIRO,"RUA MUÑOZ CALERO, 30",RIBADAVIA,ESPAÑA,42.2985027,-8.1370677,SI
AGRO PORTONOVO,"CTRA. DA LANZADA, Nº62",PORTONOVO,ESPAÑA,42.3952605,-8.829191,SI
AGRO POSE VETERINARIA,"CIMADEVILA, 40",BOIRO,ESPAÑA,42.6529452,-8.879302,SI
AGRO POUSA,"AVDA.LUDEIRO, 13 - PUXEIROS",MOS,ESPAÑA,42.2048806,-8.658040699999999,SI
AGRO POUSA (AS NEVES),"A POUSA, 9SETADOS",AS NEVES,ESPAÑA,42.1537426,-8.411055,SI
AGRO REDONDELA,"C/ JOSE REGOJO, 18",REDONDELA,ESPAÑA,42.2810339,-8.6102211,SI
AGRO RIBADAVIA,"CTRA. DE FRANCELOS, 20",RIBADAVIA,ESPAÑA,42.2836048,-8.1472832,SI
AGRO RIBEIRA SACRA,"RUA DO DEPORTE, 4º BAIXO",MACEDA,ESPAÑA,42.2706384,-7.6526189,SI
AGRO ROBERTO,"PLAZA BARCELOS, 10 - BAJO DERECHA",PONTEVEDRA,ESPAÑA,42.4307331,-8.639806600000002,SI
AGRO SALCEDA,"C/. CORUÑA, Nº2 BAJO",SALCEDA,ESPAÑA,42.1024515,-8.5604573,SI
AGRO SAN MAMEDE,"AVENIDA DOS MILAGROS, 20",MACEDA,ESPAÑA,42.267135,-7.6496613,SI
AGRO SAN MARTIÑO,"ABELENDO,17A",MOAÑA,ESPAÑA,42.2837592,-8.7436077,SI
AGRO SAN ROQUE,"C/.FILGUEIRAS, Nº5",XEVE,ESPAÑA,42.4631018,-8.587250899999999,SI
AGRO SAVOY,"PLAZA A PEDREIRA, 1","LAMA, (A)",ESPAÑA,42.39695649999999,-8.4420713,SI
AGRO VIDAL,"C/ RIO MENTE, 8 3ºC",VERIN,ESPAÑA,41.9317097,-7.437275400000001,SI
AGRO VILLA,"C/. REZA, 12 (GALERIAS ROMA)",OURENSE,ESPAÑA,42.3381245,-7.8666303,SI
AGRO VISTA REAL,"VISTA REAL, 39 (CORON)",VILAGARCIA DE AROUSA,ESPAÑA,42.5961591,-8.7670022,SI
AGRO XESTEIRIÑA,"LUGAR DE VILAR, 24-VILLALONGA",SANXENXO,ESPAÑA,42.4432749,-8.8422559,SI
AGRO XINZO-SOAGA,PARQUE EMP.VILANOVAVIAL B-MANZANA 4  PARC.1,BAION-VILANOVA DE AROUSA,ESPAÑA,42.5607887,-8.726610599999999,SI
AGRO-FER,"RUA CRUCEIRO CORUÑA, 6",SANTIAGO DE COMPOSTELA,ESPAÑA,42.8924472,-8.532406000000002,SI
AGRO-XARDIN,"LG.A PICARAÑA, 3","PRADON (ESCRAVITUDE, A)",ESPAÑA,42.7833463,-8.6498442,SI
AGROACUÑA,SAN CIPRIAN,NEVES (AS),ESPAÑA,42.1070112,-8.3860947,SI
AGROALMACENES ELIAS,"AVDA.SAN ROSENDO, 3",CELANOVA,ESPAÑA,42.1540759,-7.954400099999999,SI
AGROASTUR,"AVDA.DE GALICIA, 8",VEGADEO,ESPAÑA,43.3601568,-7.109196799999999,SI
AGROBOTICA FRIOL,"C/. ROSALIA DE CASTRO, 9",FRIOL,ESPAÑA,43.0317028,-7.794195299999999,SI
AGROBOTICA ORDES,"RUA RECREO, 4 BAIXO",ORDES,ESPAÑA,43.0764967,-8.4098449,SI
AGROBOTICA SANTIAGO.,"CRUCEIRO DA CORUÑA, 22-BAJO",SANTIAGO,ESPAÑA,42.8935213,-8.5320441,SI
AGROBUSTOS,RUA SOBREIRO 125 R/C DIREITO SOBREIROBUSTOS,BUSTOS,PORTUGAL,40.5104536,-8.595946,SI
AGROCAMPO UNION  (BARRO),"C/. BOUZA DO REI, 3 BAJO",BARRO,ESPAÑA,42.5334368,-8.7655262,SI
AGROCAN,"AVDA. SANTIAGO, 102 BAJO DCHA.",OURENSE,ESPAÑA,42.3559043,-7.865145200000001,SI
AGROCAR,"MARGARITA TABOADA,10","CARBALLIÑO, (O)",ESPAÑA,42.4298322,-8.0792179,SI
AGROCAROU,"LG.SAN ORENTE, 1",SIERRA DE OUTES,ESPAÑA,42.8634144,-8.902360999999999,SI
AGROCENTRO TURIEL,"CARRETERA RABANALES, 6",ALCAÑICES,ESPAÑA,41.7004379,-6.3437001,SI
AGROCHAN,"A CHAN, 22 CERDEDO",COTOBADE,ESPAÑA,42.4729886,-8.4470419,SI
AGROCHAN,"A CHAN, 22 CERDEDO",COTOBADE,ESPAÑA,42.4729886,-8.4470419,SI
AGROCHANTADA,"C/. HERMANOS TABOADA, Nº14",CHANTADA,ESPAÑA,42.6074013,-7.7669563,SI
AGROCOMERCIAL ABELLEIRA,"A ABELLEIRA, 1 - MARIZ",GUITIRIZ,ESPAÑA,43.1463712,-7.934734199999999,SI
AGROCOUSAS,"C/.PEÑA TREVINCA, 36 BAIXO",OURENSE,ESPAÑA,42.3319471,-7.8618649,SI
AGROCOUSAS ORDES,RUA NOVA 56-58 BAIXO,ORDES,ESPAÑA,43.0761608,-8.4065648,SI
AGROCURRELOS,CURRELOS Nº6B,SAVIÑAO,ESPAÑA,42.6786045,-7.647351499999999,SI
AGRODEPA,"C/FRANCIA, 49 A",PALENCIA,ESPAÑA,42.0038042,-4.5106448,SI
AGRODICAM,"CAMINO REAL, 1",ABADIN,ESPAÑA,43.3690899,-7.467241399999999,SI
AGROFANDI,"LAZARETO-TIRAN, 161 MOAÑA",TIRAN (SAN XOAN),ESPAÑA,42.2692478,-8.752949899999999,SI
AGROFOR,"LG. ABELLAS, 21 MUIÑO",ZAS,ESPAÑA,43.0272512,-8.949029999999999,SI
AGROFORESTAL DA TAPIA,"AVENIDA DE RAZO, 28 - BAJO",CARBALLO,ESPAÑA,43.2230205,-8.691940599999999,SI
AGROFORESTAL LUCKY SL,BARRIO SAN BENITO Nº 12,TOMIÑO,ESPAÑA,41.9924192,-8.7424885,SI
AGROFORTALEZA,"ROSALIA DE CASTRO, 67 BAJO",CASTROVERDE,ESPAÑA,43.0302594,-7.326425100000001,SI
AGROGAR,AV SOUTO VIZOSO Nº 2 BAIXO - SANTALLA,VALDOVIÑO,ESPAÑA,43.6074958,-8.1426202,SI
AGROGARGALLO COMERCIAL GANDEIRA,"AVDA. LUIS GONZALEZ TABOADA, Nº34 5ºB",LALIN (CASCO URBANO),ESPAÑA,42.6597974,-8.1113827,SI
AGROGON,C/.MANUEL ALONSO Nº13 BAJO,GONDOMAR,ESPAÑA,42.1122939,-8.7606484,SI
AGROGRANDE S.L.,C/DE LA IGLESIA S/NCALEIRO,VILANOVA DE AROUSA,ESPAÑA,42.5627589,-8.8274228,SI
AGROIKOS,"RUA CHORENTE, 20",RIANXO,ESPAÑA,42.6764819,-8.822313,SI
AGROJARDIN,"CTRA. DE MADRID, KM 234 (O PIÑEIRAL)",SAN CIBRAO DAS VIÑAS,ESPAÑA,42.2948445,-7.872840300000001,SI
AGROJARDIN GREDOS,"CARRETERA DE CANDELEDA, 15",ARENAS DE SAN PEDRO,ESPAÑA,40.2076835,-5.0945825,SI
AGROJARDIN SOLLOSO,ESTDA.CASTELA N.98,VISTA ALEGRE (DOSO-NARON),ESPAÑA,43.5194434,-8.093461099999999,SI
AGROLEON,"AVD. SAN IGNACIO DE LOYOLA, 70 - BAJO",LEON,ESPAÑA,42.6075862,-5.593072200000001,SI
AGROLONIA,"RUA ALFONSO RODRIGUEZ CASTELAO, 52",OURENSE,ESPAÑA,42.3474521,-7.8539618,SI
AGROMARC,"C/VENEZUELA, Nº9 - BAJO",NOIA,ESPAÑA,42.78427569999999,-8.8882891,SI
AGROMENS,"AVDA. DE BÉRTOA, 9",CARBALLO,ESPAÑA,43.2225453,-8.683816799999999,SI
AGROMIÑO 1,CTRA. FORXA Nº21,OURENSE,ESPAÑA,42.4708896,-8.2770531,SI
AGROMIÑO 2,PORTA DO PRADO S/N,SANTA CRUZ DE ARRABALDO,ESPAÑA,42.343667,-7.9802933,SI
AGROMIÑOR,"CAMIÑO DAS BARREIRAS, Nº6","RAMALLOSA (SAN PEDRO),A",ESPAÑA,42.1212109,-8.8110879,SI
AGROMONDOÑEDO,"AVDA.AS SAN LUCAS, 21-BAJO",MONDOÑEDO,ESPAÑA,43.4284883,-7.3673113,SI
AGRONATURA,"AVDA. CERVERA, 61",ALCAZAR DE SAN JUAN,ESPAÑA,39.3852085,-3.2077979,SI
AGRONATURA SILLEDA,"C/. PROGRESO, 25",SILLEDA,ESPAÑA,42.7020616,-8.2445422,SI
AGRONERGA,"CTRA. PLAYA 137, NERGA - CANGAS",HIO (RESTO PARROQUIA),ESPAÑA,42.2711025,-8.830117699999999,SI
AGRONOVO ROIS,"LG. DE SAMIL, S/N",ANTEQUEIRA,ESPAÑA,42.7604068,-8.688430199999999,SI
